,Twitter Query: lang:es -filter:retweets -filter:replies @GobIzcalli,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
23/05/2022 18:39,@JornadaEdomex,La Jornada Estado de México,"Un hombre sufrió una descarga eléctrica y quedó colgado de poste en avenida Primero de Mayo esquina Teotihuacán, en @GobIzcalli.",1528883423619624960,https://lajornadaestadodemexico.com/se-electrocuta-un-trabajador-que-maniobraba-cables-en-cuautitlan-izcalli/,,,0,0,Twitter for Android,3018,17,49,✅,9/15/2020,Toluca,"La Jornada inicia en el Estado de México una labor informativa, consecuente con los valores fundamentales de nuestro país.",https://lajornadaestadodemexico.com/,,View
23/05/2022 17:00,@JornadaEdomex,La Jornada Estado de México,"Los empresarios mexiquenses se reunieron con la presidenta municipal de Cuautitlán @GobIzcalli, @KarlaFiesco, para exponerle los problemas que enfrentan.",1528858310048305152,https://lajornadaestadodemexico.com/el-cceem-se-reune-con-alcaldes-para-rehabilitacion-de-parques-industriales/,,,0,0,Twitter Web App,3017,17,49,✅,9/15/2020,Toluca,"La Jornada inicia en el Estado de México una labor informativa, consecuente con los valores fundamentales de nuestro país.",https://lajornadaestadodemexico.com/,,View
23/05/2022 15:45,@Ej_SanIsidro,Ejidal San Isidro,"Personal de @GobIzcalli llevo a cabo la limpieza de calles y áreas verdes en Ampliación Ejidal San Isidro, también pintaron los juegos y cancha de basquetbol.",1528839477719867393,,https://pbs.twimg.com/media/FTeGvx7WYAcek5n.jpg,,0,0,Twitter Web App,579,803,4,,5/2/2019,"Cuautitlán Izcalli, México",#PresaElÁngulo #PlanDeGuadalupe2 #EjidalSanIsidro #VillasDelSol #LosPajaros #AmpliaciónEjidalSanIsidro #Antares #Gaviotas #Mariposas #Huertas #izcalli,,,View
23/05/2022 14:43,@NuestraZona_,@NuestraZona,#NZinforma Draga presa El Ángulo personal de @GobAtizapan @CaemEdomex e @GobIzcalli encabezados por alcalde @Pedro_RVillegas. Previenen inundaciones en ambos municipios . . . #AtizapánDeZaragoza #CuautitlanIzcallititlán #Edomex,1528823978999037960,http://nuestra-zona.com/limpian-presa-el-angulo-para-evitar-inundaciones-en-atizapan/,,,0,0,Twitter Web App,841,2040,9,,10/17/2016,Estado de México,Medio de información multimedia del Valle de México,http://www.nuestra-zona.com,,View
23/05/2022 14:37,@paafl,Paaf ☾,"La guerra por el #agua ha comenzado; ayer hubo enfrentamiento entre colonias por falta de agua y luz en @GobIzcalli @mizcalli @CaemEdomex @OperaguaIzcalli e intervinieron soldados, buscando a alguien entre los edificios de mi UH #cuidaelagua",1528822478927175680,,pic.twitter.com/NkOOBaK8q3,,0,0,Twitter Web App,291,989,1,,7/5/2013,CDMX,"Diseñadora, me rio fuerte, amo la luna y el café. No soy normal. IG: soypaaf",http://facebook.com/paafl,,View
23/05/2022 11:52,@revistatyt,revistatyt,El gobierno municipal de Cuautitlán Izcalli coordina acciones con la Sedena y GN para combatir los altos índices de robo al autotransporte. @GobIzcalli @KarlaFiesco #RoboAutotransporte,1528780905187356672,https://bit.ly/3Gdzeha,,,0,0,TweetDeck,19603,1127,120,,6/27/2009,Tel. +525553621501,Revista TRANSPORTES Y TURISMO. El mejor medio informativo sobre la industria automotriz de vehículos pesados y el sector autotransporte de carga y pasaje en MX.,http://www.tyt.com.mx,,View
23/05/2022 10:15,@AMXNoticias,Agencia Mexiquense de Noticias,"#AMxVial 🚧 || #CuautitlánIzcalli: debido a los trabajos de bacheo que se realizan en la Av. 1 de Mayo, a la altura de la EPO 11, la vialidad se encuentra parcialmente cerrada. ⚠️ Extreme Precauciones. Vía @GobIzcalli #AgenciaMxNoticias",1528756449995792384,,https://pbs.twimg.com/media/FTc4s4kWYAAgiXI.jpg,,1,1,Twitter Web App,91919,674,332,✅,4/11/2012,Estado de México,"Somos el sistema de #Noticias de @MexiquenseR y @MexiquenseTV. Llevamos hasta ti lo más importante del #Edoméx, #México 🇲🇽 y el Mundo 🌎 Canal 34.2 📺",https://radioytvmexiquense.mx/index.php/noticias/,,View
23/05/2022 05:17,@Biciverde,BiciVerde Mx 💚,#BoletinDePrensa Nueva Ley de Movilidad cambiará leyes estatales y creará Sistema Nacional por la seguridad vial #Izcalli #EdoMex @Legismex @GobIzcalli @Edomex LEER:,1528681578007773184,http://disq.us/t/47uymrh,https://pbs.twimg.com/media/FTb3ykZWQAAt10n.jpg,,0,0,Twitter for iPhone,14340,4687,228,,2/20/2010,México,"Pedaleamos hacia un futuro mejor, únete y generemos el cambio. @biciredmx @cicloviascra Premio Estatal de Medio Ambiente 2012 / http://t.me/biciverde",https://linktr.ee/BiciVerde,,View
22/05/2022 19:05,@ObservatorioM19,Observatorio Metropolitano,"#Manifestación #Izcalli #Edomex Vecinos de #InfonavitCentro se manifiestan en av José Ma. Morelos en ambos sentidos hacen un llamado a las autoridades del @GobIzcalli y @CFEmx ya que llevan más de 24 horas sin luz debido a una falla, que según estaría arreglada en 4 horas.",1528527579824676864,,https://pbs.twimg.com/media/FTZrumSXEAEePmB.jpg,,0,1,Twitter for Android,413,964,5,,6/20/2020,"Cuautitlán Izcalli, México",Periodismo crítico en el Valle de México,,,View
22/05/2022 18:11,@AntonioCataro59,Antonio Estudillo.,¿Y luego? ¡Ah! Es que las inmobiliarias @Edomex @SEMOV_Edomex @SaludEdomex @alfredodelmazo @GobIzcalli @Gob_Tlalne @GobAtizapan @EdoMexAzul @Morena_edomex @PRI_EDOMEX RT @Mexteki:,1528513835262480386,https://twitter.com/Mexteki/status/1528414732205494272,https://pbs.twimg.com/media/FTYFFW4WUAAWVG7.jpg,,0,0,Twitter for Android,645,594,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
22/05/2022 17:34,@AntonioCataro59,Antonio Estudillo.,"Es que los dueños del transporte @Edomex @alfredodelmazo @EdoMexAzul @Morena_edomex @PRI_EDOMEX @SEMOV_Edomex @Gob_Tlalne @GobAtizapan @GobIzcalli RT @Yunker_Bikes03: Yo si quiero que la CDMX sea como Ámsterdam. Pero les encanta el auto, el tráfico, contingencias ambientales, pocas áreas verdes, sobretodo poner pretextos en la no inversión al transporte.",1528504627964088320,https://twitter.com/Yunker_Bikes03/status/1528403519811854337,,,0,0,Twitter for Android,645,594,14,,6/28/2012,www.elpoderdelapalabra.com.mx,"Profesor de economía y practicante de aikido. Gusto por la literatura, jazz, rock progesivo. Y triatleta, ya qué.🏊🚴🏃",http://todo-esta-en-todo.webnode.mx,,View
22/05/2022 15:49,@georgerueda05,Jorge Antonio Rueda,"En @GobIzcalli en el fraccionamiento San Antonio, hoy 2/05/22 el agua llega con tierra y se hace el reporte a @OperaguaIzcalli wstan contaminando millones de lts de agua.@KarlaFiesco @peta @greenpeacemx @Edomex @lopezobrador_ @PROFEPA_Mx @conagua_mx @propaem_sma @ecologistas",1528478084562812928,,,,0,0,Twitter for Android,1,8,0,,4/16/2022,,"Abogado litigante, miembro de asociaciones civiles y ong, comer y ver películas 🌟",,,View
21/05/2022 18:34,@ContinuamosMX,Continuamos Mx,LES CORTAN EL AGUA A COLONIAS DE CUAUTITLÁN IZCALLI  #Emergencia #Agua #Izcalli @KarlaFiesco @GobIzcalli,1528157289558859776,https://continuamos.mx/?p=36787,,,0,0,Twitter Web App,10722,8951,78,,12/27/2010,México,Diario digital; Periodismo libre/plural #Edomex #CDMX c/ Ediciones impresas; en Facebook ContinuamosMx,http://www.continuamos.mx,,View
21/05/2022 09:59,@Soymrls,Abraham,"Oye @INMUDECI_22 @GobIzcalli me puedes decir porque esta persona nos cobra $10 por ""estacionamiento"" en el gimnasio Pablo Colin a las personas que venimos a entrenar? Solo cercó con rafia, sin identificación alguna y mucho menos sin dar comprobante de tesorería.",1528027708789252103,,https://pbs.twimg.com/media/FTSlF5KUEAAlWhY.jpg,,0,0,Twitter for Android,163,269,0,,4/22/2010,"México, México",,,,View
20/05/2022 21:51,@Jedimx76,Jedimx,"Y ustedes vecinos, ¿Cuántos días se quedan sin agua desde que empezó la administración de @KarlaFiesco en @GobIzcalli?",1527844382543683586,,,,0,0,Twitter for Android,163,137,7,,5/5/2011,19°25′58″N 99°08′00″W,El décimo hombre. Veritas odium parit,,,View
20/05/2022 18:59,@ContinuamosMX,Continuamos Mx,TOMA PROTESTA EL NUEVO CRONISTA MUNICIPAL DE CUAUTITLÁN IZCALLI  @KarlaFiesco @GobIzcalli #Cultura #historia,1527801125784543232,https://continuamos.mx/?p=36722,,,0,0,Twitter Web App,10722,8949,78,,12/27/2010,México,Diario digital; Periodismo libre/plural #Edomex #CDMX c/ Ediciones impresas; en Facebook ContinuamosMx,http://www.continuamos.mx,,View
20/05/2022 16:24,@ContinuamosMX,Continuamos Mx,INICIAN JORNADA DE SALUD BUCAL EN 25 ESCUELAS DE CUAUTITLÁN IZCALLI  #Salud #Izcalli @KarlaFiesco @GobIzcalli,1527762267898408960,https://continuamos.mx/?p=36691,,,0,0,Twitter for iPhone,10722,8949,78,,12/27/2010,México,Diario digital; Periodismo libre/plural #Edomex #CDMX c/ Ediciones impresas; en Facebook ContinuamosMx,http://www.continuamos.mx,,View
20/05/2022 14:05,@VisionUrbanaMX,Visión Urbana,Cuautitlán #Izcalli Gobierno de Izcalli ofrece mayores facilidades para regularizar a usuarios en el pago de agua  @GobIzcalli @KarlaFiesco,1527727105454198784,https://vision-urbana.com.mx/gobierno-de-izcalli-ofrece-mayores-facilidades-para-regularizar-a-usuarios-en-el-pago-de-agua/,,,0,0,TweetDeck,5796,5864,40,,5/28/2010,Valle de México,Información y Noticias del Valle de México. Síguenos en Facebook https://www.facebook.com/VisionUrbanaMX,http://www.vision-urbana.com.mx,,View
20/05/2022 12:00,@Ej_SanIsidro,Ejidal San Isidro,"#DenunciaCiudadana 🛑 “Tengan cuidado en una Cherokee roja están robando en casa habitacion en tepojaco y alrededores, fuimos víctimas de estas personas a 2 calles de los Arcos de Tepojaco“ Favor de revisar y atender @GobIzcalli @SPublicaIzcalli @C5Edomex @SS_Edomex #Izcalli",1527695650867097602,,https://pbs.twimg.com/media/FTNq0jtXwAAPm_E.jpg,,1,1,Twitter Web App,577,793,4,,5/2/2019,"Cuautitlán Izcalli, México",#PresaElÁngulo #PlanDeGuadalupe2 #EjidalSanIsidro #VillasDelSol #LosPajaros #AmpliaciónEjidalSanIsidro #Antares #Gaviotas #Mariposas #Huertas #izcalli,,,View
20/05/2022 11:35,@Ej_SanIsidro,Ejidal San Isidro,#DenunciaCiudadana 💧 En la colonia Bsques de Morelos conocido el hoyo. Ya tiene varios días que se desperdicia mucha agua sobre la calle Tejocotes. Se reportó a @OperaguaIzcalli pero no han acudido. Favor de atender @GobIzcalli @KarlaFiesco #Edomex #Izcalli,1527689357586444288,,https://pbs.twimg.com/media/FTNshwnXwAUA7YK.jpg,,0,0,Twitter Web App,577,793,4,,5/2/2019,"Cuautitlán Izcalli, México",#PresaElÁngulo #PlanDeGuadalupe2 #EjidalSanIsidro #VillasDelSol #LosPajaros #AmpliaciónEjidalSanIsidro #Antares #Gaviotas #Mariposas #Huertas #izcalli,,,View
