Username;Location;Bio;User Since;Followers;user_friends;Favorites;Verified;Date;Tweet Text;Source;is_retweet;Column1
Gerardo Mendoza;CDMX;Escritor, CEO de Escuela de Ventas, Conferencista y Maestro de Negocios para México, LATAM y Texas.;1/31/2016 17:17;5575;548;17576;FALSE;4/19/2022 14:35;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Justicia02;;Me suspendieron la cuenta anterior. Nuevos comienzos y nuevas luchas. #gay #lgtb #liberal 🌈🌈🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈;4/10/2022 15:34;98;658;3749;FALSE;4/19/2022 14:35;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Asael Sans;;@DEFIENDEH. FCPyS-UNAM. Sociólogo, melómano, escritor diletante y algo más. Pasión por la política y la literatura. Tuits personalísimos.;9/12/2009 1:06;458;4138;73666;FALSE;4/19/2022 14:34;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Maximiliano Arozqueta;Distrito Federal, México;Reportero 🎙️ Docente de universidad 👨🏼‍🏫 maestría en #UNAM 🖥️ Encargado de #AgendaCultural 🏯 Opiniones a título personal 📖 📧 comunicacionmaac@gmail.con;12/29/2014 6:10;185;331;5513;FALSE;4/19/2022 14:34;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Alexjandro58;Al sur del Trópico de Cáncer.;Por el momento, luchar contra el déspota inepto de López es lo más importante.;10/21/2009 1:26;2016;2167;86670;FALSE;4/19/2022 14:34;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Blackman;;;8/30/2021 1:47;0;36;4;FALSE;4/19/2022 14:34;@azucenau @INEGI_INFORMA Cuautitlán Izcalli no es ciudad es municipio del estado de México 🤔😳;Twitter for Android;FALSE;
Lilia Ayala;;Maestra, administradora. Amo a mi país y  deseo verlo levantarse de esta catástrofe.;7/15/2019 17:57;209;270;62488;FALSE;4/19/2022 14:33;"@angemejianepomu @azucenau @INEGI_INFORMA Son ciudades o municipios; Cuautitlán Izcalli es Edomex, por ejemplo, y dice que es la percepción de la gente.";Twitter for Android;FALSE;
Oswaldo C.;Monterrey;Agnóstico y libre pensador. Chivas aunque duela.;8/9/2011 12:28;1000;1463;188809;FALSE;4/19/2022 14:33;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Anuar Hernandez;México;;5/17/2013 3:40;34;44;19670;FALSE;4/19/2022 14:32;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
ᴏʙꜱᴇʀᴠᴀᴛᴏʀɪᴏ ᴅᴇ ɴᴀʀᴄᴏᴛʀÁꜰɪᴄᴏ;México;Medio digital del Observatorio de Estudio sobre el Narcotráfico. Línea informativa: Periodismo Judicial • Info de Abogados-Periodistas-Defensores DDH ¡Síguenos!;5/6/2020 21:02;129;835;1136;FALSE;4/19/2022 14:30;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Fer Carr F 🇲🇽⚽️☕️;Monterrey, Nuevo León;A favor de la ciencia. ITAM, Kellogg-Northwestern, Tec de Mty #economics #finance #datascience Opiniones 100% a título PERSONAL;3/9/2011 21:12;2107;1894;96386;FALSE;4/19/2022 14:30;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
🇺🇦;CDMX;Clasemediero Aspiracionista :v;5/26/2018 13:33;41;1005;9347;FALSE;4/19/2022 14:30;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Mary Paz;;;3/21/2020 3:07;662;919;3978;FALSE;4/19/2022 14:30;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Mario CE;Distrito Federal, México;Risk taker, Rule breaker, Game changer. The human the world deserves, but not the one it needs right now.;3/18/2010 2:32;739;143;16381;FALSE;4/19/2022 14:30;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Raúl Moncada Fuentes;Varsovia, Polonia;;1/23/2012 19:33;569;1459;134310;FALSE;4/19/2022 14:30;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Héctor Miguel;Zapopan;"Somos más los buenos !!! 😏😏 ........Huasteco de Nacimiento y Corazón ;)";11/4/2012 5:30;1094;379;260710;FALSE;4/19/2022 14:29;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
VICENTE LOPEZSEGURA;mexico df;REPORTERO DE TODA LA VIDA, GUITARRISTA Y CANTANTE. TWEETS A TITULO PERSONAL.;9/20/2013 0:59;4579;2585;4222;FALSE;4/19/2022 14:28;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
👓;;politólogo, reportero, analista y esencialmente CHISME de la vida de este país MEXICO 🇲🇽🇲🇽🇲🇽;6/12/2017 20:11;322;2472;7241;FALSE;4/19/2022 14:28;RT @boogui3: @azucenau Cuautitlán Izcalli, como San Pedro, no son ciudades… el segundo es municipio, el primero una colonia muy grande. Mer…;Twitter for iPhone;FALSE;
Heidy Davila;;;8/26/2010 14:32;308;3537;31598;FALSE;4/19/2022 14:28;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Mike;gto;ESP/ENG. Mexiquense residiendo en el Bajío | 🌻;4/25/2009 1:20;349;1299;195782;FALSE;4/19/2022 14:27;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Ari Mollin;;;2/21/2022 6:51;404;639;9228;FALSE;4/19/2022 14:27;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Derecho Humano;;Valia;12/2/2021 4:59;6;121;839;FALSE;4/19/2022 14:27;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Gustavo Morlet Berdejo;Chilpancingo de los Bravo, Gue;Abogado;6/5/2021 16:52;1828;4455;277;FALSE;4/19/2022 14:27;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
José Dimas;México;Soy todo menos lo que los demás quieren que sea, las críticas deben ser constructivas siempre, piensa antes de hacer y no hagas para después pensar.;2/8/2010 19:21;136;1100;78951;FALSE;4/19/2022 14:26;RT @reporterosenmov: DESARMARON A POLICÍAS QUE VIGILABAN BODEGA EN CUAUTITLÁN IZCALLI QUE GUARDABA ARTÍCULOS ROBADOS https://t.co/GnJta7mknv;Twitter for Android;FALSE;
Alex;Mexico;Ilustración | Caricatura | Cerámica ✨ Diseño y comunicación visual UNAM | Tabasqueña viviendo en Oaxaca;10/11/2011 0:45;233;747;10015;FALSE;4/19/2022 14:26;"Alguien en @FedEx sabe por qué mi paquete (unos lentes) lleva casi una semana atorado en Cuautitlán izcali? 

Curiosamente, los otros lentes @benandfrank_mx que pedí al mismo tiempo y que enviaron por la misma paquetería ya llegaron :(

@FedExHelp https://t.co/Qvozr2d2M1";Twitter for iPad;FALSE;
💫Ana🌷;;La belleza atrae, la inteligencia encanta y la bondad retiene.;9/16/2021 15:49;113;250;4716;FALSE;4/19/2022 14:26;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Imelda Sanmiguel;;Presidenta del Congreso de Tamaulipas, Diputada por Nuevo Laredo, Acción por Tamaulipas. 🇲🇽;5/10/2010 5:11;1686;836;5245;FALSE;4/19/2022 14:25;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Asmr shoe shine fausto arizmendi;Mexico;😀😀😀;11/10/2018 0:53;48;9;12;FALSE;4/19/2022 14:24;"S5E1 blue shoes in cuautitlan!

shoe shine service on blue shoes, the place was main square cuautitlan mexico

https://t.co/JBut4pafaL

#ASMR #ASMRVideo #Coolasmr #amazingasmr #sleep #videosforsleep #dormir #amazingasmr #asmr2021 #asmrchannel #asmrsounds #shoeshine #shoe #youtube https://t.co/u3LpXPnYVN";Twitter for Android;FALSE;
PONCHO  BECERRA;LEON GTO;;5/20/2010 20:02;351;970;140958;FALSE;4/19/2022 14:24;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter Web App;FALSE;
FABIÁN CONTRERAS;Iztapalapa, CDMX-Zimapán, Hgo.;"⚖️🕵️Indígena Ñhañhu y 🏳️‍🌈 love is love, ácido cómo un 🍋 pero dulce como la 🍯. 
Sarcástico. Agnostico y anti ☭";10/10/2009 20:39;974;2303;50857;FALSE;4/19/2022 14:23;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Reporte Diario;;;8/3/2018 16:43;1545;405;7;FALSE;4/19/2022 14:23;"#ReporteDiario
Se Reúnen Alcaldes de #Coacalco, #Cuautitlán, #Tultepec y #Tultitlán para Atender Temas de Seguridad

https://t.co/STtC923Y3H https://t.co/bPVV1S5EvE";Twitter for iPad;FALSE;
Oscar Nogueda;Cuauhtémoc, Distrito Federal;Comunicación y Periodismo en @FESAragonUNAM. Reportero en @Mugs_Noticias. Premio Periodismo Universitario de Investigación INAI 2021;12/21/2017 4:46;136;365;7381;FALSE;4/19/2022 14:23;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
DavidL.;;;5/15/2010 3:31;93;680;7113;FALSE;4/19/2022 14:23;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
jose manuel reyes contreras;Aguascalientes, México;;11/18/2017 18:18;79;173;54200;FALSE;4/19/2022 14:23;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
ferminc;gdl;;2/8/2012 14:02;190;370;26837;FALSE;4/19/2022 14:22;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
V💜💚💗;Naucalpan de Juárez, México;Made up of magic;10/1/2015 16:37;95;315;4083;FALSE;4/19/2022 14:22;Mi novio que aún no sabe que es mi novio vive hasta Cuautitlán ALVNoOtraVez;Twitter Web App;FALSE;
Memo;;;2/6/2021 4:05;49;127;6227;FALSE;4/19/2022 14:22;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
edgar cortez sal;;;7/9/2009 19:48;16;25;306;FALSE;4/19/2022 14:21;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
ReporterosnMovimient;Estado de México;Noticias del Estado de México, zona oriente, la mejor información regional;11/7/2009 8:10;10867;1038;87;FALSE;4/19/2022 14:21;DESARMARON A POLICÍAS QUE VIGILABAN BODEGA EN CUAUTITLÁN IZCALLI QUE GUARDABA ARTÍCULOS ROBADOS https://t.co/GnJta7mknv;WordPress.com;FALSE;
😇🦁🎓LexRGFree🦁🎓😇❤GOD❤😇;;"Ciudadanos del Mundo...
Leyes del mundo...
Sentido Común...";7/28/2011 20:57;1443;5001;62102;FALSE;4/19/2022 14:21;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
J o s é ✝;México;"Mexicano hasta el tope 🇲🇽
Gloria in excelsis Deo";9/23/2021 16:58;81;443;31044;FALSE;4/19/2022 14:20;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
A s s;;;4/16/2010 18:26;333;553;354;FALSE;4/19/2022 14:20;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Socrates PG;;;8/11/2014 1:23;148;346;78345;FALSE;4/19/2022 14:19;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Hacienda Echegaray ayuda;Hacienda de Echegaray;Difusión sobre información de la colonia.  ayudar al vecino para denunciar irregularidades.;8/10/2020 17:08;174;208;2032;FALSE;4/19/2022 14:19;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Claudio Mercado;;Sin ser radical, la crítica constructiva es mi pasión. Admiro los políticos sensibles.  Solo yo el único responsable de lo publicado.;10/26/2021 2:45;307;150;2864;FALSE;4/19/2022 14:18;"Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacatecas 91.7% 
🔴 Cuautitlán Izcalli 89.5% 
🔴 Irapuato 87.6%  
🔴 Guadalajara 87.1%
@azucenau";Twitter for iPhone;FALSE;
MuRs 🦇🪀🎮;Michoacana en CDMX 🤪;"❤️#Wolfs
En lo distinto logramos coincidirnos , contigo brillo ✨estoy en equilibrio ❤️ 🪀🦇 Y🚫Y🅾️💕";11/7/2017 18:05;2410;2412;52738;FALSE;4/19/2022 14:18;RT @ArtUlloa: Por cierto, si conocen a alguien con experiencia en Customer Service, que tenga buen inglés y (de preferencia) tenga experien…;Twitter for iPhone;FALSE;
Victor Gamero;;;9/8/2009 4:43;110;1215;70323;FALSE;4/19/2022 14:18;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Gilberto briones;MEXICO;AGARRATE FUERTE DE TI MISMO ¡ SIEMPRE FUNCIONA ! autor  anónimo.;1/1/2012 6:08;1311;2988;78987;FALSE;4/19/2022 14:17;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Francisco Villa;;;10/24/2009 23:13;280;441;21391;FALSE;4/19/2022 14:17;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Mayo Rochendo;;Gusto por la guitarra: Ottmart Liebert, Johanes Linstead, Armik. Ex IPADE;10/6/2011 3:26;69;743;19868;FALSE;4/19/2022 14:17;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
oswaldo perez;;;5/4/2010 22:59;402;1099;248469;FALSE;4/19/2022 14:16;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Esme;;🍀;1/20/2016 5:08;37;321;4478;FALSE;4/19/2022 14:15;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Rene Mota;;;2/19/2013 0:36;39;37;11;FALSE;4/19/2022 14:15;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
adriana beltzer;;;12/9/2012 22:50;291;343;142202;FALSE;4/19/2022 14:15;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Mica Bonifaz;;Los animales;9/1/2021 17:23;37;226;6894;FALSE;4/19/2022 14:15;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Fidel Maceda Luna;México;;11/13/2012 1:20;271;915;25285;FALSE;4/19/2022 14:14;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for iPhone;FALSE;
Luis  Realivazquez;;"de Chihuahua para el mundo

Santista de corazón";10/27/2009 23:52;154;447;16723;FALSE;4/19/2022 14:14;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
LoMa;;;7/16/2017 0:19;14;79;4183;FALSE;4/19/2022 14:13;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
Aragorn, hijo de Arathorn, heredero de Isildur.;L I B R E  !!!;De todo el Mundo;11/2/2012 15:52;205;278;116384;FALSE;4/19/2022 14:13;"RT @VILLALVAZO13: Las 5 ciudades más INSEGURAS:

Fresnillo
Obregón
Zacatecas
Cuautitlán
Irapuato

@INEGI_INFORMA 

https://t.co/g5Q0dcS8eY";Twitter for Android;FALSE;
H.L.;;Puro pendejo utiliza el lenguaje inclusivo. Puro pendejo le sigue creyendo a amlo.;9/7/2012 17:53;704;2209;83022;FALSE;4/19/2022 14:13;"RT @azucenau: Las ciudades con mayor percepción de inseguridad según el @INEGI_INFORMA :
🔴 Fresnillo 97.1%
🔴 Ciudad Obregón 94.1% 
🔴 Zacate…";Twitter for Android;FALSE;
